snapshot,CCGT,OCGT,Offshore wind,Onshore wind,Solar,battery storage,pumped hydro
2015-03-20 21:00:00,68983.23715684071,42624.210952672634,46510.180029811796,28113.82586927714,0.0,0.0,6407.803375773011
2015-03-20 22:00:00,68983.23715684071,40997.77667109648,43155.10982100142,29008.527088145212,0.0,0.0,7118.163447256634
2015-03-20 23:00:00,68983.23715684071,48550.35751684745,34389.15422261559,28994.137389308693,0.0,0.0,3651.0945845696447
2015-03-21 00:00:00,68983.23715684071,36944.032704086836,25326.410130270055,27825.916596780615,0.0,14246.232510237649,8803.796771252179
2015-03-21 01:00:00,68983.23715684071,42854.17210448799,25026.78406079115,29339.47465578351,0.0,0.0,14830.548864880326
2015-03-21 02:00:00,68983.23715684071,44981.45787489355,22943.4678651504,30602.059011209865,0.0,0.0,13861.673770615125
2015-03-21 03:00:00,68983.23715684071,49147.39464056107,17603.77209870696,31185.51995630392,0.0,9916.56776987583,5248.074940516325
2015-03-21 04:00:00,68983.23715684071,49003.42657849842,18766.573287426974,32316.280845847876,0.0,13802.158623744099,0.0
2015-03-21 05:00:00,68983.23715684071,45408.60593917225,20569.90782152587,33986.522722794085,2227.9022275302973,12987.100823314076,0.0
2015-03-21 06:00:00,65029.973742424816,34598.66800851945,26285.26301371478,35086.68555075757,23759.4465291808,0.0,3640.0000000000005
2015-03-21 07:00:00,61949.507750504905,9583.043332316489,28260.137244414516,38050.69103966127,54705.934955977405,0.0,-7952.244299467065
2015-03-21 08:00:00,39222.74829278289,2773.585575947774,33369.45396305516,39724.25487551431,81502.92885557869,0.0,-15242.380481866776
2015-03-21 09:00:00,8484.086494145871,2773.585575947774,38016.63822932647,39564.85841721601,101782.47899718097,0.0,-14913.85964932321
2015-03-21 10:00:00,0.0,2773.585575947774,44030.374564954924,32338.35678060072,113089.67417167209,0.0,-21171.627710914534
2015-03-21 11:00:00,0.0,2773.585575947774,47689.467480994135,31452.180025313668,109000.06865983641,-4003.0845878622144,-20067.91937274038
2015-03-21 12:00:00,0.0,2773.585575947774,84334.26741953377,32162.190692610646,94140.47743418839,-32596.422615479467,-18696.167618496973
2015-03-21 13:00:00,0.0,2773.585575947774,89207.00743626815,37598.580715409626,75532.38644446719,-28672.448484080727,-17721.531619913178
2015-03-21 14:00:00,0.0,0.0,98207.03440523382,37436.76736690191,52170.92671215592,-16194.904865442059,-13096.618741154462
2015-03-21 15:00:00,0.0,2773.585575947774,99650.09780102811,35028.34192791831,31232.415598767464,-465.20553888687937,-7400.98768289289
2015-03-21 16:00:00,2914.7242069693216,2773.585575947774,103450.71054962315,34890.93134494828,11009.662717408582,0.0,12165.894755275867
2015-03-21 17:00:00,24574.479918953515,2773.585575947774,102540.36457778921,39602.204101384865,193.89725046858172,0.0,8683.179673110797
2015-03-21 18:00:00,28007.211597487578,2773.585575947774,98477.21720333799,43857.68233917022,0.0,0.0,12783.59901663282
2015-03-21 19:00:00,28680.101375000264,2773.585575947774,90868.9714183711,52293.0763883781,0.0,0.0,8700.380042126191
2015-03-21 20:00:00,32070.06296396629,0.0,82185.83780603767,60490.3727568687,0.0,0.0,8136.081257986089
2015-03-21 21:00:00,42867.725839754356,0.0,70338.91858147433,63858.14152210335,0.0,0.0,5018.758431530538
2015-03-21 22:00:00,47804.15088130768,1249.318857209794,59146.15882725851,66690.97668403415,0.0,0.0,3649.071146260392
2015-03-21 23:00:00,55577.4909651332,2179.236248746666,49494.1816101561,68172.72664498104,0.0,0.0,1597.136708514152
2015-03-22 00:00:00,65023.85594610355,2706.936587298599,43931.05213223731,64973.623210072226,0.0,0.0,216.20294443228613
2015-03-22 01:00:00,68983.23715684071,3016.9088884676103,35880.375195509114,68072.83766841241,0.0,1171.4292389835027,58.65180861294721
2015-03-22 02:00:00,68983.23715684071,3294.324194937074,28464.40146407768,71305.46458219415,0.0,9198.355269997097,-2221.655421767704
2015-03-22 03:00:00,68983.23715684071,3422.9432691238244,22686.561366128295,70751.63427829451,0.0,17911.180195454806,-4402.241041171004
2015-03-22 04:00:00,68983.23715684071,3382.5800461610434,19148.351434868247,69749.64576621447,0.0,24876.387258942552,-6746.415598317886
2015-03-22 05:00:00,68983.23715684071,4825.771163577733,17012.029055709685,69872.6407567732,1451.459763434335,24727.27006344086,-8441.355862998153
2015-03-22 06:00:00,68983.23715684071,10877.514790198897,17224.411643752697,72644.87896150246,18636.23026898134,0.0,-7196.615273712343
2015-03-22 07:00:00,56622.10772300223,487.0710508270529,17863.04737798211,73240.51012991546,46498.6663035151,0.0,-8139.201359598419
2015-03-22 08:00:00,37658.43535877283,0.0,17402.020281452144,70212.13237516602,73668.46827222142,0.0,-8018.823897444996
2015-03-22 09:00:00,14257.144328224307,0.0,19201.198581666395,69182.3046935611,99391.82017517244,0.0,-13195.76354156112
2015-03-22 10:00:00,0.0,0.0,21130.982936461478,67317.90717460321,117346.20186763367,-826.2647695010819,-21048.079128925703
2015-03-22 11:00:00,0.0,0.0,22520.50073269381,66486.22014217716,128346.61669901252,-13837.504167154344,-26920.124315630725
2015-03-22 12:00:00,0.0,0.0,22112.274892117675,57603.310081799806,127435.78111686266,-15148.340443727573,-23920.90075126326
2015-03-22 13:00:00,0.0,0.0,21812.0409421485,57962.93385648988,115749.21044434006,-10512.425838746401,-22355.04839950602
2015-03-22 14:00:00,27986.38425902764,0.0,20401.80022743586,57493.10721132725,91896.9589049201,-20098.975252914643,-18055.445919689082
2015-03-22 15:00:00,63021.95444585517,64.37242972129343,19161.441058038356,53766.6775525018,57786.18473457589,-21508.555619707287,-12432.94293593273
2015-03-22 16:00:00,67705.59738727973,20864.95072761078,18434.475584047563,47077.044469730194,22899.201953914442,0.0,-10165.58668928549
2015-03-22 17:00:00,68983.23715684071,40143.537550491055,18914.41981045323,45228.74716792036,775.5890018743269,14789.267385344043,-6653.213056394738
2015-03-22 18:00:00,68983.23715684071,38824.97630203218,19337.5325121686,38668.06765643384,0.0,22032.660402985137,8816.048979106508
2015-03-22 19:00:00,68983.23715684071,38333.51737191474,23843.702441170597,37246.78324557584,0.0,20588.00949037901,6872.121106044828
2015-03-22 20:00:00,68550.43730774458,37547.04543324512,30899.384311294813,35607.79403451209,0.0,11253.281124248657,8706.393483263564
2015-03-22 21:00:00,68051.041948367,37547.04543324512,37265.96612513265,33239.80013429581,0.0,5803.745812501809,8617.534633188914
2015-03-22 22:00:00,63021.95444585517,37547.04543324512,44582.29213694205,32313.80026396011,0.0,0.0,8127.1037412425985
2015-03-22 23:00:00,63021.95444585517,34494.09475984579,50300.74556011578,31718.553532516013,0.0,0.0,2416.407709236135
2015-03-23 00:00:00,61949.507750504905,27037.43769455245,58305.18933280275,37070.02863871971,0.0,0.0,-4639.140907919666
2015-03-23 01:00:00,61949.507750504905,26620.268820516,59389.14967078254,40489.61979356249,0.0,0.0,-9438.023866891795
2015-03-23 02:00:00,61949.507750504905,29566.29826627211,57086.836061755304,41455.60849670123,0.0,0.0,-10109.00215981689
2015-03-23 03:00:00,61949.507750504905,32283.56764902056,55383.42341524889,40597.67728446859,0.0,0.0,-7837.992100022471
2015-03-23 04:00:00,61949.507750504905,37272.23839125703,54000.15101267652,39855.41309332162,0.0,0.0,-4916.107909927859
2015-03-23 05:00:00,61949.507750504905,37547.04543324512,54203.69234017203,39543.11884435581,2031.2953972009122,3417.657811360161,211.5593434092948
2015-03-23 06:00:00,61949.507750504905,26446.011940082324,59181.34657370383,32114.29512132883,22560.09880929754,0.0,6274.1522370337525
